2024-09-24-14:00:58 INFO  verifyDevConsoleOption: Browser launched
2024-09-24-14:01:02 INFO  verifyDevConsoleOption: User logged in
2024-09-24-14:01:02 INFO  verifyDevConsoleOption: User menu clicked
2024-09-24-14:01:03 INFO  verifyDevConsoleOption: User Menu Options are visible
2024-09-24-14:01:09 INFO  verifyDevConsoleOption: Finished
2024-09-24-14:01:11 INFO  verifyLogout: Browser launched
2024-09-24-14:01:15 INFO  verifyDevConsoleOption: User logged in
2024-09-24-14:01:17 INFO  verifyLogout: User log out complete
2024-09-24-14:01:17 INFO  verifyLogout: Finished
2024-09-24-14:01:19 INFO  verifyMyProfileOption: Browser launched
2024-09-24-14:01:23 INFO  verifyMyProfileOption: User logged in
2024-09-24-14:01:27 INFO  verifyMyProfileOption: Edit profile clicked
2024-09-24-14:01:28 DEBUG MyProfilePage : verifyAboutTab : Error message is fetched
2024-09-24-14:01:30 INFO  verifyMyProfileOption: User post created
2024-09-24-14:01:32 INFO  verifyMyProfileOption: File upload completed
2024-09-24-14:01:57 INFO  verifyMyProfileOption: Photo added and verified
2024-09-24-14:01:57 INFO  verifyMyProfileOption: Finished
2024-09-24-14:02:00 INFO  verifyMysettingsOption: Browser launched
2024-09-24-14:02:04 INFO  verifyMysettingsOption: User logged in
2024-09-24-14:02:04 INFO  verifyMysettingsOption: User menu clicked
2024-09-24-14:02:05 INFO  verifyMysettingsOption: User Menu Options are visible
2024-09-24-14:02:13 INFO  verifyMysettingsOption: Finished
2024-09-24-14:02:15 INFO  verifySelectUserMenu: Browser launched
2024-09-24-14:02:19 INFO  verifyLoginToSalesforce: User logged in
2024-09-24-14:02:20 INFO  verifySelectUserMenu: User Menu items are verified
2024-09-24-14:02:20 INFO  verifySelectUserMenu: Finished
