2024-09-24-00:20:07 INFO  verifyDevConsoleOption: Browser launched
2024-09-24-00:20:11 INFO  verifyDevConsoleOption: User logged in
2024-09-24-00:20:12 INFO  verifyDevConsoleOption: User menu clicked
2024-09-24-00:20:13 INFO  verifyDevConsoleOption: User Menu Options are visible
2024-09-24-00:20:19 INFO  verifyDevConsoleOption: Finished
2024-09-24-00:20:22 INFO  verifyLogout: Browser launched
2024-09-24-00:20:26 INFO  verifyDevConsoleOption: User logged in
2024-09-24-00:20:27 INFO  verifyLogout: User log out complete
2024-09-24-00:20:27 INFO  verifyLogout: Finished
2024-09-24-00:20:30 INFO  verifyMyProfileOption: Browser launched
2024-09-24-00:20:34 INFO  verifyMyProfileOption: User logged in
2024-09-24-00:20:37 INFO  verifyMyProfileOption: Edit profile clicked
2024-09-24-00:20:38 DEBUG MyProfilePage : verifyAboutTab : Error message is fetched
2024-09-24-00:20:40 INFO  verifyMyProfileOption: User post created
2024-09-24-00:20:41 INFO  verifyMyProfileOption: File upload completed
2024-09-24-00:21:07 INFO  verifyMyProfileOption: Photo added and verified
2024-09-24-00:21:07 INFO  verifyMyProfileOption: Finished
2024-09-24-00:21:10 INFO  verifyMysettingsOption: Browser launched
2024-09-24-00:21:14 INFO  verifyMysettingsOption: User logged in
2024-09-24-00:21:15 INFO  verifyMysettingsOption: User menu clicked
2024-09-24-00:21:15 INFO  verifyMysettingsOption: User Menu Options are visible
2024-09-24-00:21:23 INFO  verifyMysettingsOption: Finished
2024-09-24-00:21:26 INFO  verifySelectUserMenu: Browser launched
2024-09-24-00:21:30 INFO  verifyLoginToSalesforce: User logged in
2024-09-24-00:21:31 INFO  verifySelectUserMenu: User Menu items are verified
2024-09-24-00:21:31 INFO  verifySelectUserMenu: Finished
