2024-09-24-00:15:14 INFO  verifyDevConsoleOption: Browser launched
2024-09-24-00:15:18 INFO  verifyDevConsoleOption: User logged in
2024-09-24-00:15:21 INFO  verifyDevConsoleOption: User menu clicked
2024-09-24-00:15:22 INFO  verifyDevConsoleOption: User Menu Options are visible
2024-09-24-00:15:27 INFO  verifyDevConsoleOption: Finished
2024-09-24-00:15:30 INFO  verifyLogout: Browser launched
2024-09-24-00:15:34 INFO  verifyDevConsoleOption: User logged in
2024-09-24-00:15:36 INFO  verifyLogout: User log out complete
2024-09-24-00:15:36 INFO  verifyLogout: Finished
2024-09-24-00:15:38 INFO  verifyMyProfileOption: Browser launched
2024-09-24-00:15:42 INFO  verifyMyProfileOption: User logged in
2024-09-24-00:15:46 INFO  verifyMyProfileOption: Edit profile clicked
2024-09-24-00:15:47 DEBUG MyProfilePage : verifyAboutTab : Error message is fetched
2024-09-24-00:15:52 INFO  verifyMyProfileOption: User post created
2024-09-24-00:15:53 INFO  verifyMyProfileOption: File upload completed
2024-09-24-00:16:19 INFO  verifyMyProfileOption: Photo added and verified
2024-09-24-00:16:19 INFO  verifyMyProfileOption: Finished
2024-09-24-00:16:21 INFO  verifyMysettingsOption: Browser launched
2024-09-24-00:16:25 INFO  verifyMysettingsOption: User logged in
2024-09-24-00:16:27 INFO  verifyMysettingsOption: User menu clicked
2024-09-24-00:16:27 INFO  verifyMysettingsOption: User Menu Options are visible
2024-09-24-00:16:35 INFO  verifyMysettingsOption: Finished
2024-09-24-00:16:38 INFO  verifySelectUserMenu: Browser launched
2024-09-24-00:16:42 INFO  verifyLoginToSalesforce: User logged in
